position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Interior,(45),https://tr.wikipedia.org/wiki/Mustafa_Kalemli,Mustafa Kalemli,23 Haziran 1991,29 Ağustos 1991,,,,,,
Minister of Interior,47,https://tr.wikipedia.org/wiki/Sabahattin_%C3%87akmako%C4%9Flu,Sabahattin Çakmakoğlu,29 Ağustos 1991,20 Kasım 1991,,Bağımsız (Bürokrat),,1930,"İncesu, Kayseri, Türkiye","25 Kasım 1930(1930-11-25)İncesu, Kayseri, Türkiye"
Minister of Interior,48,https://tr.wikipedia.org/wiki/%C4%B0smet_Sezgin,İsmet Sezgin,20 Kasım 1991,25 Haziran 1993,,Doğru Yol Partisi,,1928,"Aydın, Türkiye","İsmet Abdullah Sezgin6 Ocak 1928Aydın, Türkiye"
Minister of Interior,49,https://tr.wikipedia.org/wiki/Beytullah_Mehmet_Gazio%C4%9Flu,Beytullah Mehmet Gazioğlu,25 Haziran 1993,24 Ekim 1993,,,,1944,,
Minister of Interior,50,https://tr.wikipedia.org/wiki/Nahit_Mente%C5%9Fe,Nahit Menteşe,24 Ekim 1993,31 Ekim 1995,,,,1932,"Milas, Muğla","1 Nisan 1932(1932-04-01)Milas, Muğla"
Minister of Interior,51,https://tr.wikipedia.org/wiki/Teoman_%C3%9Cn%C3%BCsan,Teoman Ünüsan,31 Ekim 1995,6 Mart 1996,,Bağımsız (Bürokrat),,1940,,
Minister of Interior,52,https://tr.wikipedia.org/wiki/%C3%9Clk%C3%BC_G%C3%B6kalp_G%C3%BCney,Ülkü Gökalp Güney,6 Mart 1996,28 Haziran 1996,,Anavatan Partisi,,1935,"Bayburt, Türkiye","1 Ocak 1935 (91 yaşında)Bayburt, Türkiye"
Minister of Interior,53,https://tr.wikipedia.org/wiki/Mehmet_A%C4%9Far,Mehmet Ağar,28 Haziran 1996,8 Kasım 1996,,Doğru Yol Partisi,,1951,"Çankaya, Ankara, Türkiye","30 Ekim 1951 (74 yaşında)Çankaya, Ankara, Türkiye"
Minister of Interior,54,https://tr.wikipedia.org/wiki/Meral_Ak%C5%9Fener,Meral Akşener,8 Kasım 1996,30 Haziran 1997,,,,1956,"Gündoğdu, İzmit, Kocaeli, Türkiye","Meral Gürer18 Temmuz 1956 (69 yaşında)Gündoğdu, İzmit, Kocaeli, Türkiye"
Minister of Interior,55,https://tr.wikipedia.org/wiki/Murat_Ba%C5%9Fesgio%C4%9Flu,Murat Başesgioğlu,30 Haziran 1997,4 Ağustos 1998,,Anavatan Partisi,,1955,"Kastamonu, Türkiye","1 Mart 1955 (70 yaşında)Kastamonu, Türkiye"
Minister of Interior,56,https://tr.wikipedia.org/wiki/Kutlu_Akta%C5%9F,Kutlu Aktaş,4 Ağustos 1998,11 Ocak 1999,,Bağımsız (Bürokrat),,1941,Adana,1941 (84-85 yaşında)Adana
Minister of Interior,57,https://tr.wikipedia.org/wiki/Cahit_Bayar,Cahit Bayar,11 Ocak 1999,28 Mayıs 1999,,,,1935,"Sivas, Türkiye","1935Sivas, Türkiye"
Minister of Interior,58,https://tr.wikipedia.org/wiki/Sadettin_Tantan,Sadettin Tantan,28 Mayıs 1999,5 Haziran 2001,,Anavatan Partisi,,1941,"Sapanca, Sakarya","1 Ocak 1941 (85 yaşında)Sapanca, Sakarya"
Minister of Interior,59,https://tr.wikipedia.org/wiki/R%C3%BC%C5%9Ft%C3%BC_Kaz%C4%B1m_Y%C3%BCcelen,Rüştü Kazım Yücelen,5 Haziran 2001,5 Ağustos 2002,,,,1948,"Anamur, Mersin, Türkiye","1948Anamur, Mersin, Türkiye"
Minister of Interior,60,https://tr.wikipedia.org/wiki/Muzaffer_Ecemi%C5%9F,Muzaffer Ecemiş,5 Ağustos 2002,18 Kasım 2002,,Bağımsız (Bürokrat),,1938,,
Minister of Interior,(46),https://tr.wikipedia.org/wiki/Abd%C3%BClkadir_Aksu,Abdülkadir Aksu,18 Kasım 2002,8 Mayıs 2007,,Adalet ve Kalkınma Partisi,,,,
Minister of Interior,61,https://tr.wikipedia.org/wiki/Osman_G%C3%BCne%C5%9F,Osman Güneş,8 Mayıs 2007,29 Ağustos 2007,,Bağımsız (Bürokrat),,1952,Şefaatli,
