position,№,wikipedia_link,Bakan,Görev Başlangıcı,Görev Bitişi,Parti,column_5,Bakan Yardımcısı,birth_year,birth_place,birth_date
Minister of Education,41,https://tr.wikipedia.org/wiki/Hasan_Sa%C4%9Flam,Hasan Sağlam,21 Eylül 1980,13 Aralık 1983,,Askerî,,1931,,
Minister of Education,42,https://tr.wikipedia.org/wiki/Vehbi_Din%C3%A7erler,Vehbi Dinçerler,13 Aralık 1983,13 Eylül 1985,,Anavatan Partisi,,1940,Gaziantep,
Minister of Education,43,https://tr.wikipedia.org/wiki/Metin_Emiro%C4%9Flu,Metin Emiroğlu,13 Eylül 1985,21 Aralık 1987,,,,1943,,
Minister of Education,44,https://tr.wikipedia.org/wiki/Hasan_Celal_G%C3%BCzel,Hasan Celal Güzel,21 Aralık 1987,30 Mart 1989,,,,1945,"Gaziantep, Türkiye","1 Ocak 1945(1945-01-01)Gaziantep, Türkiye"
Minister of Education,45,https://tr.wikipedia.org/wiki/Avni_Akyol,Avni Akyol,30 Mart 1989,20 Kasım 1991,,,,1931,"Düzce, Türkiye","1931Düzce, Türkiye"
Minister of Education,46,https://tr.wikipedia.org/wiki/K%C3%B6ksal_Toptan,Köksal Toptan,20 Kasım 1991,25 Haziran 1993,,Doğru Yol Partisi,,1943,"Camidağı, Rize, Türkiye","3 Ocak 1943 (83 yaşında)Camidağı, Rize, Türkiye"
Minister of Education,(38),https://tr.wikipedia.org/wiki/Nahit_Mente%C5%9Fe,Nahit Menteşe,25 Haziran 1993,24 Ekim 1993,,,,,,
Minister of Education,47,https://tr.wikipedia.org/wiki/Nevzat_Ayaz,Nevzat Ayaz,24 Ekim 1993,5 Ekim 1995,,,,1930,"[1], Bayramören, Çankırı, Türkiye","5 Ekim 1930(1930-10-05)[1]Bayramören, Çankırı, Türkiye"
Minister of Education,48,https://tr.wikipedia.org/wiki/Turhan_Tayan,Turhan Tayan,5 Ekim 1995,28 Haziran 1996,,,,1943,"Bursa, Türkiye","19 Ekim 1943 (82 yaşında)Bursa, Türkiye"
Minister of Education,49,https://tr.wikipedia.org/wiki/Mehmet_Sa%C4%9Flam,Mehmet Sağlam,28 Haziran 1996,30 Haziran 1997,,,,1938,"Göksun, Kahramanmaraş, Türkiye","15 Mart 1938 (87 yaşında)Göksun, Kahramanmaraş, Türkiye"
Minister of Education,50,https://tr.wikipedia.org/wiki/Hikmet_Ulu%C4%9Fbay,Hikmet Uluğbay,30 Haziran 1997,11 Ocak 1999,,Demokratik Sol Parti,,1939,"Isparta, Türkiye","29 Mart 1939 (86 yaşında)Isparta, Türkiye"
Minister of Education,51,https://tr.wikipedia.org/wiki/Metin_Bostanc%C4%B1o%C4%9Flu,Metin Bostancıoğlu,11 Ocak 1999,10 Temmuz 2002,,,,1942,"Bafra, Samsun, Türkiye","1942 (83-84 yaşında)Bafra, Samsun, Türkiye"
Minister of Education,52,https://tr.wikipedia.org/wiki/Necdet_Tekin,Necdet Tekin,10 Temmuz 2002,18 Kasım 2002,,,,1947,"Pınarhisar, Türkiye","1947 (78-79 yaşında)Pınarhisar, Türkiye"
Minister of Education,53,https://tr.wikipedia.org/wiki/Erkan_Mumcu,Erkan Mumcu,18 Kasım 2002,14 Mart 2003,,Adalet ve Kalkınma Partisi,,1963,"Yalvaç, Isparta, Türkiye","1 Mayıs 1963 (62 yaşında)Yalvaç, Isparta, Türkiye"
Minister of Education,54,https://tr.wikipedia.org/wiki/H%C3%BCseyin_%C3%87elik,Hüseyin Çelik,14 Mart 2003,1 Mayıs 2009,,,,1959,"Van, Türkiye","5 Mart 1959 (66 yaşında)Van, Türkiye"
Minister of Education,55,https://tr.wikipedia.org/wiki/Nimet_Ba%C5%9F,Nimet Çubukçu,1 Mayıs 2009,6 Temmuz 2011,,,,1965,"Ayrancı, Karaman","2 Mart 1965 (60 yaşında)Ayrancı, Karaman"
Minister of Education,56,https://tr.wikipedia.org/wiki/%C3%96mer_Din%C3%A7er,Ömer Dinçer,6 Temmuz 2011,24 Ocak 2013,,,,1956,Karaman,10 Eylül 1956 (69 yaşında)Karaman
Minister of Education,57,https://tr.wikipedia.org/wiki/Nabi_Avc%C4%B1,Nabi Avcı,24 Ocak 2013,24 Mayıs 2016,,,,1953,"Pazaryeri, Bilecik, Türkiye","8 Ekim 1953 (72 yaşında)Pazaryeri, Bilecik, Türkiye"
Minister of Education,58,https://tr.wikipedia.org/wiki/%C4%B0smet_Y%C4%B1lmaz,İsmet Yılmaz,24 Mayıs 2016,10 Temmuz 2018,,,,1961,"Gürün, Sivas, Türkiye","10 Aralık 1961 (64 yaşında)Gürün, Sivas, Türkiye"
Minister of Education,59,https://tr.wikipedia.org/wiki/Ziya_Sel%C3%A7uk,Ziya Selçuk,10 Temmuz 2018,5 Ağustos 2021,,,,1961,"Emirler, Gölbaşı, Ankara","1 Mayıs 1961 (64 yaşında)Emirler, Gölbaşı, Ankara"
Minister of Education,60,https://tr.wikipedia.org/wiki/Mahmut_%C3%96zer,Mahmut Özer,6 Ağustos 2021,4 Haziran 2023,,,,1970,"Yazıbaşı, Tokat, Türkiye","5 Mayıs 1970 (55 yaşında)Yazıbaşı, Tokat, Türkiye"
Minister of Education,61,https://tr.wikipedia.org/wiki/Yusuf_Tekin,Yusuf Tekin,4 Haziran 2023,Görevde,,,,1970,"Tortum, Erzurum, Türkiye","3 Ağustos 1970 (55 yaşında)Tortum, Erzurum, Türkiye"
Minister of Education,1,https://tr.wikipedia.org/wiki/Orhan_Erdem,,29 Ekim 2011,26 Nisan 2018,,,Orhan Erdem,1963,"Akşehir, Konya","7 Ekim 1963Akşehir, Konya"
Minister of Education,2,,,25 Temmuz 2018,21 Ağustos 2019,,,İbrahim Er,,,
Minister of Education,Reha Denemeç,https://tr.wikipedia.org/wiki/Reha_Deneme%C3%A7,,6 Ağustos 2021,,,,25 Temmuz 2018,1961,Elazığ,20 Mayıs 1961 (64 yaşında)Elazığ
Minister of Education,Prof. Dr. Mahmut Özer,https://tr.wikipedia.org/wiki/Mahmut_%C3%96zer,,6 Ağustos 2021,,,,9 Ağustos 2018,,,
Minister of Education,Prof. Dr. Mustafa Safran,https://tr.wikipedia.org/wiki/Mustafa_Safran,,6 Ağustos 2021,,,,9 Ağustos 2018,,Kastamonu,1958Kastamonu
Minister of Education,3,,,6 Ağustos 2021,8 Ocak 2022,,,Prof. Dr. Ahmet Emre Bilgili,,,
Minister of Education,Prof. Dr. Petek Aşkar,,,22 Haziran 2023,,,,6 Ağustos 2021,,,
Minister of Education,Dr. Sadri Şensoy,,,22 Haziran 2023,,,,6 Ağustos 2021,,,
Minister of Education,4,https://tr.wikipedia.org/wiki/Nazif_Y%C4%B1lmaz,,8 Ocak 2022,Görevde,,,Nazif Yılmaz,1971,Kayseri,
Minister of Education,5,,,26 Temmuz 2022,22 Haziran 2023,,,Osman Sezgin,,,
Minister of Education,6,,,22 Haziran 2023,14 Eylül 2024,,,Kemal Şamlıoğlu,,,
Minister of Education,Celile Eren Ökten,,,Görevde,,,,22 Haziran 2023,,,
Minister of Education,Ömer Faruk Yelkenci,,,Görevde,,,,22 Haziran 2023,,,
Minister of Education,Muhammet Bilal Macit,https://tr.wikipedia.org/wiki/Muhammet_Bilal_Macit,,Görevde,,,,14 Eylül 2024,1984,İstanbul,
